ID,date,Order,Price
1,1/8/2566,เต็นท์สีขาว,"5,600"
2,2/8/2566,"เต็นท์สีขาว ,โต๊ะเก้าอี้","2,800"
3,3/8/2566,"เต็นท์สีน้ำเงิน ,โต๊ะเก้าอี้","4,400"
4,4/8/2566,"เต็นท์สีขาว ,โต๊ะเก้าอี้","3,200"
5,5/8/2566,"เต็นท์สีน้ำเงิน ,โต๊ะเก้าอี้","4,000"
6,6/8/2566,"เต็นท์สีน้ำเงิน ,โต๊ะเก้าอี้","4,400"
7,7/8/2566,เต็นท์สีน้ำเงิน,"1,600"
8,8/8/2566,-,-
9,9/8/2566,เต็นท์สีขาว,"1,600"
10,10/8/2566,เต็นท์สีขาว,"3,200"
11,11/8/2566,เต็นท์สีน้ำเงิน,600
12,12/8/2566,เต็นท์สีน้ำเงิน,600
13,13/8/2566,เต็นท์สีน้ำเงิน,"1,200"
14,14/8/2566,เต็นท์สีน้ำเงิน,"1,200"
15,15/8/2566,เต็นท์สีน้ำเงิน,"1,800"
16,16/8/2566,โต๊ะเก้าอี้,"3,600"
17,17/8/2566,"เต็นท์สีน้ำเงิน ,โต๊ะเก้าอี้","2,500"
18,18/8/2566,โต๊ะเก้าอี้,"4,800"
19,19/8/2566,"เต็นท์สีขาว ,โต๊ะเก้าอี้","2,800"
20,20/8/2566,"เต็นท์สีขาว ,โต๊ะเก้าอี้","2,800"
21,21/8/2566,เต็นท์สีน้ำเงิน,600
22,22/8/2566,เต็นท์สีน้ำเงิน,"1,200"
23,23/8/2566,"เต็นท์สีขาว ,โต๊ะเก้าอี้","4,200"
24,24/8/2566,"เต็นท์สีขาว ,โต๊ะเก้าอี้","2,800"
25,25/8/2566,โต๊ะเก้าอี้,"1,200"
26,26/8/2566,เต็นท์สีน้ำเงิน,"1,200"
27,27/8/2566,เต็นท์สีขาว,"2,400"
28,28/8/2566,โต๊ะเก้าอี้,"1,200"
29,29/8/2566,"เต็นท์สีขาว ,โต๊ะเก้าอี้","1,500"
30,30/8/2566,"เต็นท์สีขาว ,โต๊ะเก้าอี้","2,300"
31,31/8/2566,เต็นท์สีน้ำเงิน,600
